S.No,Name,Age,Gender,Salary,Login Time,Bonus,Team
1,Vijay,21,Male,10000,9:00 AM,2000,Admin
2,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
3,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
4,Kishore,20,Male,25000,9:00 AM,2000,Testing
5,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
6,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
7,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
8,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
9,Harish,20,Male,90000,8:00 AM,3000,R&D
10,Sanjay,20,Male,26000,10:00 AM,1000,Finance
11,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
12,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
13,Kishore,20,Male,25000,9:00 AM,2000,Testing
14,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
15,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
16,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
17,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
18,Harish,20,Male,90000,8:00 AM,3000,R&D
19,Sanjay,20,Male,26000,10:00 AM,1000,Finance
20,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
21,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
22,Kishore,20,Male,25000,9:00 AM,2000,Testing
23,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
24,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
25,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
26,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
27,Harish,20,Male,90000,8:00 AM,3000,R&D
28,Sanjay,20,Male,26000,10:00 AM,1000,Finance
29,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
30,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
31,Kishore,20,Male,25000,9:00 AM,2000,Testing
32,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
33,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
34,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
35,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
36,Harish,20,Male,90000,8:00 AM,3000,R&D
37,Sanjay,20,Male,26000,10:00 AM,1000,Finance
38,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
39,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
40,Kishore,20,Male,25000,9:00 AM,2000,Testing
41,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
42,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
43,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
44,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
45,Harish,20,Male,90000,8:00 AM,3000,R&D
46,Sanjay,20,Male,26000,10:00 AM,1000,Finance
47,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
48,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
49,Kishore,20,Male,25000,9:00 AM,2000,Testing
50,Fahim,20,Male,21000,9:00 AM,1000,Manufacturing
51,Mugesh,20,Male,40000,7:00 AM,500,Manufacturing
52,Sivaguru,20,Male,60000,10:00 AM,1000,Maintenance
53,Ganesh,20,Male,80000,9:00 AM,2000,Maintenance
54,Harish,20,Male,90000,8:00 AM,3000,R&D
55,Sanjay,20,Male,26000,10:00 AM,1000,Finance
56,Harshini,19,Female,50000,10:00 AM,1000,Event Manag.
57,Lakshmanan,20,Male,20000,8:00 AM,3000,Testing
58,Kishore,20,Male,25000,9:00 AM,2000,Testing
